Address,Pool token fullBalanceOf
0x14200888c9b85b4f1e589de4be12e46916b7af31,742744136731221259
0x95863cdd9c70966bdae83c3a9ac949c304c1b8f9,75350196568737754
0x6669923187fc613c3868f405df0f2c2d10a7fdec,764069821686769569
0xe97178f627268f4cead069237db9f50f66d17d97,769102199715242791
0xf503feb4f6570e0a44c5231df53dae3fb5d7d628,785388533402
0x4c89684041eb142a85c917986b3a2d7d85b284cb,775779311369279174
0x46e6f25d092ad9048a3c2bf09a8ea02fa15f0d05,782653182589971200
0x93bb2d258786109439cb268c0a425b314d8abf56,775654500297573088
0x2cad80ba1244320733ae568ce6bdea064a9de3ab,796013868041020116
0x037206acaa8ee3da02e9abe429f51255476a64d6,789661029619203566
0xec4a83c4632fd30dedf49ac32dd0a22fca38c4d8,793861395431666367
0x2c35a970a19b943bed591d55204034d8672de7ac,804034638501053676
0x3100196ea6ce9b824896c53838fa6fc88e3e5054,805427138121305341
0x5056aa6baa5967d588bbe8f546ec15891bd56a49,8224589584244241008896
0x93bb3b8ce42d96eeadc4ed92a80948eb836aea94,804143199869361863
0x77fb0deba36c1ae0057b8a07174ed3c87f53f11e,8167325790778149145355
0x200c233de55c1e2ab271edb87e5abce150d637a0,818164860029470990
0x5c46deea1783f1d7e9579b963f2021ac1b5bfe7b,8214952661157506258
0x338cc22f63a863df81cf8f818a0eec7635fdfecd,812509054942838089
0xc6945ac4789fe3dd9e6c93746948b8409b6dd350,816548978895923091
0x42e5996dbbea9ac9ded34a14cb271196a1c32a46,815751019054602831
0x478fa4c971a077038b4fc5c172c3af5552224ccc,826900889102663212
0x7a22e7a4d912231f9c0fb6760c59ab560188360b,833018382884878781
0x932654bc075a69ad65cfc76ba01c4ac3621d1598,833590225477827959
0xc04f402f482e3d5d6346c7568805468e29dca156,838010066108869349
0x6e561fff127d63e298d1b08bdbc07d59fd748ba2,847939331677782683
0xf2c95079e35a27c296b01759431e05c38e392a21,861587944822098705
0x7010861fbf4b55f7f14c2a9946d744357ba3eb02,87598607799950897490
0x7263c0ba0d332a96566e99457f8f93c2ecd9c03d,867740278290411851
0x0ce730fac3a07820fdc9e17bb68e3574f6fdfc0e,869949545358330819
0x8f85b2d9c1d762ab319e1510af4062165d6a56a6,871427545075856340054
0x1d601f4c8463b602084f39471d8c04a686f0edce,883602209118489485
0x9d8b1d8be109851f48f89ee14b9e895441381f46,879403549127961679
0x3ead180ae502757fc6e444e4cf3d861fe27fe0ac,884909646564092021
0x0647e46db55a10efa59a2edb63b51184175d1a26,886233744833846948
0x4e58b97ce2c9a687ff6df2ba7f8f7217ad44327d,888005420742169525
0x267987b4ed90807a427e582acfd170a5fa01be6b,893778036099041803
0x9a7cbfe5af96d2eff788f580f915690369b738fe,894110373906314715
0x6e3bda1fbdc98ed50a537228650d9d6149b013f5,891347034408940978
0x39934f0a14aa55ab28c569e6d5adba3349ebf823,909217987807365636
0x0dd2019e2633e99a5865eeac5d05c3bc113f363b,899015883039363512
0x8646cc4682e218327bed6630eb7d5c8b370c740d,898731659659497054
0x0f87dd03a74e6a48d56661d96f44880c79b9d795,90989946057910278693
0x7376af1bfbea6eacf4d8d48a05cc84de3abbb8be,896175739212250428
0x136e964cff1457d6f502c6a3e0cde417360d9c61,897786871317217741
0x65870575837f98511793041ee5c0cc4db911b01e,912174510148096685
0x0d0ca2d40a2d6df958abb6767e62e140b1d0c584,909327171265747999
0xb44a6591f3fa702beed26266ffc33c9da0efab8a,915775580754447737
0x12d4f5e2efd434f752893b06a1406c3e7ac1c704,9245342745303752665719
0xb1945d5962a0a3d9b88679de4409ca377e4d08bd,927301809228273482
0xbd1f7d88c76a86c60d41bddd4819fae404e7151e,927428080185681562
0xce2bab72c7d21cdf960fd194953daf7544e36231,921800139038758419
0x7d480d5fa0e8ab1232c02daf9aba33fd812987fa,925933985372570586
0x35982287d6180e90ebbc9be1b3a2326515ca0090,948631880855799460286
0x1398c7c0399e911f221b6d907299be5669fa11ae,939887862367185128
0x07938d0c5be1ac7579c3eef5f1bf6bb7b6e24684,946598084642424179123
0x7a429e1cb54bedb645c612354cdc58b00c477419,955415337737445174
0x8d54eb6815574bd426be06f9748d8b5b6638c61a,953277907500263715
0x163b8deb1730d0a69f4c76ffd3c39f23d6289449,95793716728544599319
0x7c567f75c4b444b7bdae7aaae747f954f93d4185,985150550290981476
0x5543955098067c40807371cd32418b9b7e0e5600,959637386562682621
0xcee32df0cb1ae7a8770ea9f10aea96fab9031f05,991605523733118714
0x397b25001f0fc0f3dbabce5739fd69254b74568d,993337556470992983
0x09a98b8b15c9fadff8524503768479b26ede3ec7,992867110494946281
0x1f26f92a901dfacb8d8522e45bbb69c515f3013e,978670897626342908
0xe944885cea1bfa3518610cbd2693752ce56908f4,992591251567023711
0xe5546ea6535859c5d16373ecabde6de89fb2a4ce,982147144955034136
0x67922a9561423548a9ccfd67ad80d6c637c26bfe,986497174148735378
0x7b8d6d838105681303b36d7ce8c80419bc72e714,994468369837753834
0x473dff3f18d2b44e98129b7b1ef6f5a7d28b5270,983954384539200539
0xd9233c98d84e50f07b122ee0de0a6a50f49127e0,988432040549657971
0x5d47e5d242a8f66a6286b0a2353868875f5d6068,995603561747415281
0x80b3b64d8b5c454d1b84dac4d759d3408a90e463,98999708881553537
0xac741ebe63a35ed2b217f37f3b6c626765d11ead,998896411568607512
0xe6cb0096927fde2cc0ba3b8dda6913e54198952e,1045147344344405459759
0xaf7d21d40e688eb4eb791943e46d35a14edca471,1014254603829436875
0xf14a04d18cb5ba0fe293f6157cd4593404c12ece,1027339673259237781
0x91a503945eaf68ff638da328931f460893ef42d6,1046350509248509317460
0x63e86c9c17841e227f978aaa1488f136fe7b68ea,1004722670696770025
0xc084508124a8b76e44a07418a92a868394153771,1002601682663650014
0x1847a87a9cad63e55d6825267b73968878a4e4e5,1028254137895660556222
0x9efab36288565dc343b6909350767cb392aa4f69,9991363266908276464582
